RA001,RP002,T001,H001,01/01/2023,31/12/2023,1500.0
RA002,RP005,T002,H002,01/02/2023,31/01/2024,1800.0
RA003,RP007,T003,H003,01/03/2023,28/02/2024,2000.0
RA004,CP002,T004,H004,01/04/2023,31/03/2024,3500.0
RA005,CP004,T005,H005,01/05/2023,30/04/2024,2800.0
RA006,CP005,T006,H001,01/06/2023,31/05/2024,4000.0
RA007,RP003,T007,H002,01/07/2023,30/06/2024,1700.0
RA008,RP006,T008,H003,01/08/2023,31/07/2024,2200.0
RA009,CP001,T009,H004,01/09/2023,31/08/2024,3000.0
RA010,CP003,T010,H005,01/10/2023,30/09/2024,2500.0
RA011,CP005,T001,H001,01/11/2023,31/10/2024,3200.0
RA012,CP007,T002,H002,01/12/2023,30/11/2024,2700.0
